"","Outcome","Daysrec","CK","AST"
"1",1,1,3000,590
"3",0,0,600,207
"4",0,1,590,113
"5",0,2,1800,243
"6",0,6,380,150
"7",0,4,1300,303
"8",1,1,830,93
"9",0,0,2700,240
"10",0,1,1800,740
"11",0,4,200,80
"12",0,0,7400,490
"13",1,2,620,150
"15",1,1,140,67
"16",1,2,500,107
"17",0,2,160,83
"18",1,0,91,213
"19",1,0,680,90
"20",0,6,4200,527
"21",0,1,592,157
"22",0,1,2600,480
"23",0,1,13000,2400
"24",0,2,13000,450
"25",0,1,980,150
"26",0,3,2600,910
"27",0,0,11000,313
"28",0,3,2300,590
"30",1,0,286,57
"32",1,0,1106,143
"33",0,0,20,33
"35",0,0,71000,2200
"36",1,1,820,100
"37",0,3,521,133
"38",0,0,32670,740
"39",0,0,325,120
"40",1,2,980,173
"41",0,1,12886,783
"42",0,0,8330,957
"43",0,0,7289,333
"44",0,0,8057,347
"45",0,1,3905,203
"46",1,3,3085,227
"47",0,1,3905,240
"48",0,1,1952,210
"49",0,4,26,53
"50",0,2,14057,457
"51",0,0,2668,200
"52",1,0,130,87
"53",1,0,260,140
"54",0,1,20826,1800
"55",1,0,2323,167
"56",0,0,790,97
"57",1,0,590,87
"58",0,0,35000,1900
"59",0,2,11975,457
"60",1,1,1067,93
"61",0,3,6248,897
"62",0,2,7419,537
"63",0,4,1302,453
"64",0,0,5206,423
"65",0,0,443,74
"66",0,3,3300,370
"67",1,0,680,370
"69",1,2,1100,140
"70",0,1,1803,127
"71",1,0,13,43
"72",1,0,390,53
"73",1,2,390,107
"74",1,1,4900,270
"75",0,1,3449,243
"76",1,0,640,53
"77",1,2,140,60
"78",0,1,340,130
"79",1,0,52,47
"80",0,0,2700,310
"81",1,0,230,160
"82",0,1,36000,440
"83",1,1,3500,170
"84",1,3,2206,900
"85",1,1,1341,80
"86",0,2,4165,713
"87",1,0,104,70
"88",0,4,2500,510
"89",0,1,2700,150
"90",1,0,400,100
"91",1,0,1692,307
"92",0,2,21000,150
"93",0,0,21000,590
"95",0,2,32930,683
"96",0,0,1549,107
"97",1,2,3775,163
"98",0,3,44254,1263
"99",1,0,703,93
"100",0,1,54016,937
"101",0,2,2603,660
"102",0,1,5662,437
"103",0,0,5100,877
"104",0,1,10673,517
"105",1,5,1302,187
"106",1,0,716,163
"107",0,3,1600,440
"108",1,1,1367,213
"109",0,4,1431,430
"110",1,4,3153,253
"111",0,1,11844,676
"112",1,2,240,143
"113",1,3,355,123
"115",0,0,210,175
"116",0,1,3990,312
"117",0,1,2900,447
"118",1,0,260,147
"119",1,3,540,253
"120",1,1,260,133
"121",0,2,230,130
"122",0,2,911,180
"123",1,0,960,180
"124",0,3,1200,180
"125",0,1,790,93
"126",1,2,2343,220
"127",0,3,2733,420
"128",0,2,911,230
"129",0,2,2670,130
"130",0,2,1170,107
"131",0,0,4425,317
"132",1,1,1302,237
"133",0,0,1041,527
"134",0,2,5467,680
"135",1,2,850,137
"136",1,0,810,110
"137",0,4,1600,500
"138",1,0,570,120
"139",0,1,612,110
"140",1,0,130,87
"141",0,4,5700,580
"142",1,0,350,67
"143",0,0,2864,270
"144",0,1,2343,130
"145",0,1,3254,323
"146",1,0,160,60
"147",1,0,170,97
"148",1,3,5100,160
"149",0,2,4300,320
"150",1,0,390,80
"151",0,1,460,97
"152",0,4,24100,1700
"153",1,0,980,73
"154",1,1,1800,140
"155",0,1,330,67
"156",1,0,98,67
"157",1,0,72,50
"158",0,7,260,297
"159",0,7,200,177
"160",0,0,520,157
"161",0,3,39000,1133
"162",0,2,1822,193
"164",0,2,2603,150
"165",0,5,3644,567
"167",0,0,2096,120
"168",1,0,1497,73
"169",0,1,350,237
"170",0,0,905,237
"171",0,0,436,137
"175",0,2,9100,193
"176",0,2,677,83
"177",1,0,1041,157
"178",0,0,202,52
"179",0,1,16791,720
"180",0,3,5857,773
"181",0,0,1300,180
"182",0,1,7810,810
"183",0,0,1041,160
"184",1,1,447,90
"185",0,4,700,277
"186",1,3,287,133
"187",1,0,3085,143
"188",0,2,26020,613
"189",1,0,130,100
"191",0,6,1627,600
"192",1,0,428,116
"193",0,0,2940,92
"194",1,1,2900,144
"195",0,7,149,122
"196",0,1,2880,494
"197",0,1,5490,245
"198",0,0,4620,166
"199",0,2,3620,319
"200",1,1,120,41
"201",1,1,3300,117
"202",0,3,3620,164
"203",0,1,14900,267
"204",0,0,1385,121
"205",0,1,4560,156
"206",1,0,5080,332
"207",0,4,5980,492
"208",0,2,4120,572
"209",1,2,2040,584
"210",0,0,1425,303
"211",0,5,2540,700
"212",1,2,4440,462
"213",0,0,1320,336
"214",1,0,133,76
"215",1,1,1220,287
"216",0,1,1640,470
"217",0,1,14080,990
"218",1,0,153,160
"219",1,3,434,124
"220",0,0,4800,152
"221",1,1,332,76
"222",1,0,251,155
"223",1,0,487,101
"224",1,2,1530,129
"225",1,0,158,40
"226",0,4,13960,860
"227",0,2,30480,960
"228",1,0,746,126
"229",1,4,474,126
"230",0,1,8570,365
"231",0,1,28660,1300
"233",0,0,7440,290
"234",0,1,2540,255
"235",0,0,1125,87
"236",1,4,2140,247
"237",0,2,400,47
"239",0,1,4600,305
"240",0,0,382,860
"241",0,0,8140,2080
"242",0,1,15660,322
"243",0,1,3490,231
"244",0,1,286,50
"245",0,2,27160,1240
"246",1,0,242,83
"247",0,2,36,93
"248",0,2,1120,139
"249",0,0,5400,260
"250",1,0,375,103
"251",0,7,8880,920
"252",0,4,26560,1160
"253",1,3,1280,185
"254",1,6,1000,242
"255",0,1,845,383
"256",1,0,1660,62
"257",0,0,1740,80
"258",1,2,1700,339
"259",1,2,4760,480
"260",1,0,119,52
"261",1,0,316,162
"263",0,0,784,258
"264",0,3,34960,2080
"265",0,6,493,169
"266",0,0,1507,133
"267",1,1,53,48
"268",0,1,998,353
"269",0,0,1012,94
"270",1,0,167,69
"271",0,0,250,73
"272",0,1,9800,1400
"273",1,7,911,626
"275",0,3,9700,1400
"276",0,2,20000,733
"277",0,1,612,103
"278",0,2,5987,347
"279",0,1,9960,1100
"280",1,1,195,53
"281",0,1,27659,773
"283",0,0,130,73
"284",0,0,9000,490
"285",0,3,22900,1066
"286",1,0,2930,250
"287",1,0,117,60
"288",0,1,45800,2266
"289",0,1,31000,1600
"290",1,0,1760,267
"291",0,1,37000,1300
"292",0,3,650,233
"293",0,5,22000,2066
"294",0,1,325,193
"295",1,2,3775,333
"296",0,4,7289,633
"297",0,5,10870,800
"298",1,1,1890,367
"299",0,1,6380,900
"300",0,1,521,193
"301",1,1,2670,467
"302",1,1,1300,633
"303",0,1,11980,800
"304",1,7,1497,600
"305",1,7,1040,400
"306",1,0,553,167
"307",0,0,2538,367
"308",0,3,5400,1470
"309",1,6,3970,390
"310",1,1,514,200
"311",0,3,8720,410
"312",0,1,137,60
"313",0,2,5730,203
"314",0,3,10280,1143
"315",1,0,208,70
"316",0,3,1690,180
"317",0,1,976,273
"318",0,2,4360,1033
"319",0,3,1100,223
"320",0,2,13670,400
"321",1,1,2990,600
"322",0,1,13930,1170
"323",0,5,260,267
"324",0,5,1150,233
"326",1,4,781,167
"327",1,3,1237,420
"328",1,0,78,67
"329",1,1,1562,323
"330",1,1,78,63
"331",1,7,325,183
"332",1,0,65,100
"333",0,1,846,230
"334",0,2,9957,567
"335",1,0,260,200
"336",0,0,5792,400
"337",1,3,6960,317
"338",0,4,2930,183
"339",0,3,1760,183
"340",0,1,1630,240
"342",0,6,5857,687
"343",0,0,247,87
"344",0,7,332,93
"345",1,1,924,83
"346",1,3,1887,273
"349",0,0,104,60
"350",0,2,5011,330
"351",1,1,885,110
"352",0,0,3905,187
"353",1,1,3905,213
"354",0,4,3060,480
"355",1,2,4328,393
"356",1,5,1500,310
"357",1,0,436,63
"358",1,0,560,63
"359",0,3,879,367
"360",1,3,234,63
"361",1,1,3580,223
"363",1,0,241,143
"364",0,1,2200,157
"365",1,0,2811,223
"366",1,0,950,93
"367",0,2,4686,503
"368",0,2,14122,897
"369",0,5,729,310
"370",1,5,1170,240
"372",0,0,18160,940
"373",0,0,566,123
"375",0,1,4120,167
"377",0,7,3644,493
"378",0,7,62997,2533
"379",0,0,3059,250
"380",1,0,644,107
"381",0,0,19264,1033
"382",1,1,254,73
"384",0,1,7094,457
"385",0,3,2284,360
"386",1,1,605,83
"387",0,7,2877,230
"388",0,5,885,90
"389",0,4,5790,753
"390",1,1,267,57
"391",0,2,2020,277
"392",1,0,160,40
"393",1,1,722,103
"394",0,5,9371,400
"395",0,2,6508,336
"396",0,5,3124,376
"398",0,3,15000,1190
"399",1,2,4700,250
"401",1,0,612,97
"402",0,4,12040,433
"404",0,0,482,60
"405",1,1,462,100
"406",0,6,1630,423
"407",0,1,2020,163
"408",0,3,38000,940
"410",0,0,25380,1109
"411",0,2,11650,467
"412",0,5,20370,2000
"414",1,1,78,113
"416",0,6,1300,600
"417",1,1,5920,140
"418",0,1,52,133
"419",0,1,26400,630
"420",1,3,3337,650
"421",0,1,3960,506
"422",0,0,2150,253
"423",0,7,19720,2160
"424",1,2,280,120
"425",0,5,24730,1130
"427",0,2,12500,523
"428",0,2,1757,333
"429",0,1,5206,383
"430",0,2,4600,392
"431",0,0,4510,736
"432",1,1,1430,719
"433",0,4,5792,440
"434",0,6,10150,1730
"435",0,3,9890,460
